分类,问题
理想国,你想成名吗？想以什么方式成名？
理想国,你想成为怎么样的人？过着怎么样的生活？
恋爱星球,和 TA 轮流说出心目中对方的一个优点。每人说 5 条。
恋爱星球,你梦见过自己做污污的事情吗？
恋爱星球,什么是真爱
恋爱星球,不久的将来，AI 已经具备了类似于人类的情感和意识。你愿意与 AI 谈恋爱吗？
时间的爪印,"绘制一下你的生命长河（折线/曲线图）
纵轴：低谷时刻、日常时刻、高光时刻
横轴：童孩时期、少年时期、青年时期、此时此刻"
灵魂碰碰,"《幸存者》
世界末日突然降临。由于生存物资有限，只有一小部分人可以获得活下来的机会。
请选出你认为在现实世界里最应该活下来的人（前5个），按先后顺序排列，并说明理由。
1、懂建筑能盖房的工程师
2、懂航天的物理学家
3、能歌善舞的艺术家
4、植物学农学家
5、著书百本的文学历史大家
6、专治疑难杂症的医学家
7、掌握基因科技的生物学家
8、擅长制造机械的专家
9、各个国家主席/总统
10、前十的世界首富"
灵魂碰碰,"《五感取舍》
如果你突然身患重疾，在嗅觉、听觉、味觉、视觉、触觉，这五个感官中，只能保留2个，你会保留哪2个，为什么呢？"
灵魂碰碰,结合自身工作经历，谈谈你对职业道德的理解
灵魂碰碰,谁是恐怖分子
灵魂碰碰,如果现在就是你生命的最后一刻，你有什么遗憾？你想在遗书里写些什么？你希望你的葬礼是什么样的？
灵魂碰碰,你是否曾经秘密地预感到自己会以怎样的方式死去？
灵魂碰碰,假如你知道自己在一年内就会突然死去，你会改变现在的生活方式吗？为什么？
灵魂碰碰,如果有一个水晶球可以告诉你关于自己、人生、未来，乃至任何事情的真相，你会想知道吗？
