分类,问题
个人星球,打电话之前你会先排练一下要说什么吗，为什么？
个人星球,对你来说，“完美”的一天是什么样的？
个人星球,在一段友谊之中你最珍视的是什么？
个人星球,请分享你人生中最让你自豪的事情？
个人星球,分享一个你社死的瞬间。
个人星球,假设你家着火了，救出家人和宠物之后，还有机会取出最后一件东西，你会拿什么，为什么？
个人星球,分享一件你最近苦恼的事情，咨询对方如果遇到此事要如何解决。
个人星球,你一般和谁一起旅游？你会和父母出去旅游吗？
个人星球,你干过最出格的事情是什么
个人星球,你对“照骗”有什么看法吗？你平常会用美颜相机吗？
个人星球,你平常关注时事吗，看热搜吗，喜欢吃瓜吗？
个人星球,你最讨厌和什么样的人相处？
个人星球,你最想去哪个城市旅游？最想在哪个城市生活？
个人星球,你难过的时候怎么发泄情绪？
个人星球,你对你目前的生活状态满意吗？
个人星球,你对你目前的工作满意吗？
个人星球,你遇到困难的时候都是怎么鼓励自己的？
个人星球,你喜欢研究家装吗？喜欢什么样的装修风格呢？你现在家里的装修是什么样的？
个人星球,你和你的同学还有联系吗？大家都从事什么工作呢？
个人星球,你喜欢现在的自己吗？
个人星球,你接下来一年的规划是什么呀？
家庭星球,你觉得自己的童年比其他人更快乐吗？
家庭星球,你如何看待三胎政策？你会怎么样教导小孩呐？
家庭星球,你觉得如果结婚的话，家庭和事业的时间怎么分配？
家庭星球,你支持男主外女主内么？
家庭星球,你觉得要花多少时间跟双方父母相处？
家庭星球,你觉得要跟亲戚多来往吗？
理想国,如果可以在世界上所有人中任意选择，你想邀请谁共进晚餐？
理想国,如果不考虑金钱，你最想做什么工作？
恋爱星球,在亲密关系中，有什么重要的事情是你绝对不能接受的。
恋爱星球,你最欣赏什么样的婚礼形式？
恋爱星球,你有很多好朋友吗？会想另一半融入你的朋友圈吗？
恋爱星球,你谈过多少段恋爱？以前分手的主要原因是什么？
恋爱星球,你支持婚前同居吗？
恋爱星球,你认为两个人在一起什么才是必不可缺的？
恋爱星球,你相信灵魂伴侣吗？
恋爱星球,如果你女朋友/男朋友后发现有更吸引你的人会怎么做？
恋爱星球,你会和一个你不爱但是合适的人结婚吗
恋爱星球,你认为男女间有纯粹的友谊吗？你会和前任保持联系吗？
恋爱星球,你会选择爱你的，还是你爱的？
时间的爪印,如果你能改变过去的一个选择，会是什么？
时间的爪印,你最珍贵的记忆是什么？
时间的爪印,你最糟糕的记忆是什么？
时间的爪印,你上次哭是什么时候？有别人在场吗？
时间的爪印,你上次自己唱起歌来是在什么时候，给别人唱呢？
时间的爪印,分享一下你的学生时代
灵魂碰碰,如果你能活到90岁，同时可以一直保持30岁时的心智或身体，你会选择保持哪一种呢，心智还是身体？
灵魂碰碰,你相信命运吗？
灵魂碰碰,如果给你100W、500W、5000W、1亿你打算怎么使用？
灵魂碰碰,你觉得年轻的时候是努力赚钱重要还是保持身体健康重要？
灵魂碰碰,你想过穿越吗？如果有一次机会，你想去什么时间和地点？
灵魂碰碰,你觉得躺平好还是奋斗好？
